Title,URL
"Day 1  of Learning AI Agents in Hindi  AI AGENTS Are Changing The Game !","https://www.youtube.com/watch?v=dhhVxJ_qUPc"
"Day 2  Ai Agents Masterclass -  What tools to use ?","https://www.youtube.com/watch?v=R2HsJuNr-ac"
"Day 3 Ai Agents Masterclass - What if you Mastered Ai Agents in 2025 (Hindi)","https://www.youtube.com/watch?v=iQSZIOoe8P4"
"Day 4 AI Agents Masterclass - 5 Types of nodes in N8n You need to KNOW","https://www.youtube.com/watch?v=a1eY8x8P09Y"
"Day 5 - Building AI Agents Masterclass - Get Ready to build expert AI Agents - Hindi N8n Tutorial","https://www.youtube.com/watch?v=EHbAA8aERYc"
"Day 6 - AI Agents Masterclass - Going more in-depth with nodes in Hindi","https://www.youtube.com/watch?v=9nckPa2EvRw"
"Day 7 - Building A Agents Masterclass - WATCH THIS Even before you start building your first agent!","https://www.youtube.com/watch?v=fILw8-MYrvA"
"Day 8  - AI Agents Masterclass - Lets Build a bit Complex Agent in Hindi","https://www.youtube.com/watch?v=ec5SwU5qj_k"
"Day 8 Update Video on Day 8's Complex Workflow","https://www.youtube.com/watch?v=cyqleaWKWkA"
"Day 9 Ai Agents Masterclass - n8n and Lovable - Power of webhooks","https://www.youtube.com/watch?v=umpPee57unw"
"Day 10  Ai Agents Masterclass  - n8n Email Reply Agent","https://www.youtube.com/watch?v=kg6YGlLF0Nk"
"Day 11  Ai Agents Masterclass  - MOST IMPORTANT VIDEO","https://www.youtube.com/watch?v=JOmWSuKP-Tg"
"Day 12 Part 1 AI Agents Masterclass  - CREATING WORKFLOW WITHOUT JSON","https://www.youtube.com/watch?v=VhxYxKOPMr4"
"Day 12 Part 2   AI Agents Masterclass  - SUPERPOWER FOR YOUR AI AGENTS","https://www.youtube.com/watch?v=p1eW2_XZleo"
"Day 12 Part 3   AI Agents Masterclass  -  Spent 30 Days using JSON's and it chnaged my life","https://www.youtube.com/watch?v=D6rtkyArbYA"
"Day 13 AI Agents Masterclass  -  Data Processing in N8n in Hindi","https://www.youtube.com/watch?v=aNHHr1IjsEk"
"Day 14 AI Agents Masterclass  -  What is RAG and why it Matters","https://www.youtube.com/watch?v=ERg2my7c8SA"
"Day 15 Part 1  AI Agents Masterclass  -  What is RAG, Embedding and Vectors","https://www.youtube.com/watch?v=Rohm5agdQn8"
"Day 15 - Build your First RAG Agent in Hindi","https://www.youtube.com/watch?v=NTwM3V-mdzc"
"How MCP Makes your AI Agents Super Smart — Explained in Detail — In Hindi","https://www.youtube.com/watch?v=P7hcFHVu-xs"
"DAY 16 - Building Your First Voice AI Agent - Simplest Way HINDI","https://www.youtube.com/watch?v=MOj0mtInC84"
